,open,high,low,close,volume
2016-03-29,129.28125,130.09375,129.203125,130.046875,1017088.0
2016-03-30,130.03125,130.109375,129.703125,130.046875,1071211.0
2016-03-31,130.046875,130.53125,129.953125,130.5,1095434.0
2016-04-01,130.484375,130.5,130.0625,130.46875,1250646.0
2016-04-04,130.46875,130.640625,130.3125,130.59375,719276.0
2016-04-05,130.59375,130.96875,130.5625,130.875,960083.0
2016-04-06,130.859375,130.90625,130.515625,130.6875,922150.0
2016-04-07,130.671875,131.296875,130.578125,131.234375,991933.0
2016-04-08,131.234375,131.265625,130.84375,131.078125,763578.0
2016-04-11,131.078125,131.21875,130.765625,131.03125,785075.0
2016-04-12,130.984375,131.03125,130.5,130.546875,954643.0
2016-04-13,130.53125,130.71875,130.359375,130.609375,1039111.0
2016-04-14,130.609375,130.703125,130.203125,130.28125,1045696.0
2016-04-15,130.296875,130.734375,130.203125,130.609375,787091.0
2016-04-18,130.859375,130.890625,130.375,130.5,884589.0
2016-04-19,130.5,130.5,130.203125,130.3125,993238.0
2016-04-20,130.328125,130.59375,129.703125,129.8125,1260325.0
2016-04-21,129.8125,129.90625,129.453125,129.65625,1337757.0
2016-04-22,129.6875,129.78125,129.359375,129.484375,948230.0
2016-04-25,129.515625,129.703125,129.28125,129.296875,902262.0
2016-04-26,129.296875,129.484375,129.0625,129.171875,1028536.0
2016-04-27,129.171875,129.875,129.15625,129.875,1112655.0
2016-04-28,129.859375,130.171875,129.65625,130.046875,1435407.0
2016-04-29,130.046875,130.1875,129.65625,129.921875,1455601.0
2016-05-02,129.921875,130.15625,129.625,129.625,863010.0
2016-05-03,129.640625,130.46875,129.640625,130.3125,1266494.0
2016-05-04,130.3125,130.546875,130.15625,130.5,1094228.0
2016-05-05,130.5,130.875,130.25,130.75,1147852.0
2016-05-06,130.75,131.203125,130.453125,130.546875,1479523.0
2016-05-09,130.53125,130.890625,130.4375,130.828125,848721.0
2016-05-10,130.875,130.90625,130.625,130.71875,965106.0
2016-05-11,130.75,131.09375,130.65625,130.875,1061082.0
2016-05-12,130.875,130.953125,130.515625,130.59375,1163571.0
