,open,high,low,close,volume
2004-05-10,108.46875,108.703125,108.40625,108.578125,341915.0
2004-05-11,108.53125,108.75,108.484375,108.640625,327597.0
2004-05-12,108.75,108.84375,108.5625,108.65625,396506.0
2004-05-13,108.5625,108.625,108.328125,108.421875,346783.0
2004-05-14,108.375,108.984375,108.15625,108.890625,563067.0
2004-05-17,108.984375,109.359375,108.9375,109.3125,440850.0
2004-05-18,109.328125,109.328125,108.953125,109.09375,339803.0
2004-05-19,109.078125,109.09375,108.71875,108.8125,296902.0
2004-05-20,108.921875,109.25,108.875,109.15625,332415.0
2004-05-21,109.234375,109.359375,108.921875,108.96875,300074.0
2004-05-24,108.9375,109.09375,108.828125,109.046875,286459.0
2004-05-25,109.109375,109.28125,109.046875,109.109375,442138.0
2004-05-26,109.09375,109.5625,109.09375,109.5,562007.0
2004-05-27,109.5625,109.921875,109.421875,109.890625,396747.0
2004-05-28,109.8125,110.03125,109.46875,109.5625,171110.0
2004-06-01,109.484375,109.59375,109.25,109.421875,144154.0
2004-06-02,109.46875,109.46875,109.125,109.21875,93941.0
2004-06-03,109.171875,109.328125,109.09375,109.28125,90548.0
2004-06-04,109.296875,109.40625,108.90625,108.921875,70936.0
2004-06-07,108.875,109.125,108.8125,109.09375,47585.0
2004-06-08,109.09375,109.171875,108.84375,109.0625,32115.0
2004-06-09,108.9375,108.9375,108.65625,108.84375,40758.0
2004-06-10,108.703125,108.90625,108.671875,108.890625,16881.0
2004-06-14,108.6875,108.6875,108.375,108.4375,28307.0
2004-06-15,108.515625,109.34375,108.5,109.28125,32679.0
2004-06-16,109.28125,109.28125,108.921875,109.078125,22062.0
2004-06-17,109.0,109.21875,108.875,109.21875,17991.0
2004-06-18,109.34375,109.390625,109.15625,109.171875,12770.0
2004-06-21,109.234375,109.359375,109.125,109.34375,6506.0
2004-06-22,108.09375,108.15625,107.953125,108.09375,176772.0
2004-06-23,108.0,108.203125,107.921875,108.125,238800.0
2004-06-24,108.140625,108.625,108.09375,108.421875,436108.0
2004-06-25,108.421875,108.59375,108.359375,108.484375,229719.0
2004-06-28,108.5,108.5625,107.890625,107.96875,443687.0
2004-06-29,108.0,108.265625,107.84375,108.1875,330719.0
2004-06-30,108.25,108.890625,108.15625,108.6875,507509.0
2004-07-01,108.859375,109.078125,108.546875,109.03125,449282.0
2004-07-02,108.96875,110.046875,108.875,109.59375,451872.0
2004-07-06,109.5625,109.765625,109.46875,109.53125,296305.0
2004-07-07,109.515625,109.625,109.40625,109.53125,251229.0
2004-07-08,109.515625,109.703125,109.359375,109.625,269901.0
2004-07-09,109.625,109.703125,109.53125,109.640625,136825.0
2004-07-12,109.65625,109.796875,109.640625,109.71875,120964.0
2004-07-13,109.6875,109.71875,109.390625,109.5625,247637.0
2004-07-14,109.59375,109.8125,109.40625,109.484375,303622.0
2004-07-15,109.5,109.5625,109.328125,109.4375,266814.0
2004-07-16,109.453125,110.109375,109.21875,110.0625,442238.0
2004-07-19,110.078125,110.125,109.96875,110.0,146676.0
2004-07-20,110.03125,110.03125,109.40625,109.46875,387612.0
2004-07-21,109.4375,109.46875,109.09375,109.296875,431466.0
2004-07-22,109.375,109.515625,109.25,109.375,317147.0
2004-07-23,109.4375,109.515625,109.328125,109.484375,118622.0
2004-07-26,109.46875,109.5,109.1875,109.3125,178634.0
2004-07-27,109.21875,109.25,108.734375,108.8125,374342.0
